4,Bahrain,266278,BLUE OCEAN OVERSEAS PVT. LTD.,,96,0,96
5,Bahrain,266279,BLUE OCEAN OVERSEAS PVT. LTD.,,69,0,69
6,Bahrain,266262,BRIGHT STAR HUMAN RESOURCES PVT. LTD.,,25,10,35
7,Bahrain,265010,DYNAMIC STAFFING SOLUTION NEPAL PVT. LTD.,,120,0,120
8,Bahrain,265695,EASY OVERSEAS PVT.LTD. (SKY BRIDGE OVERSEAS PVT.LTD.),,0,2,2
9,Bahrain,266011,EASY OVERSEAS PVT.LTD. (SKY BRIDGE OVERSEAS PVT.LTD.),,14,0,14
10,Bahrain,266014,EASY OVERSEAS PVT.LTD. (SKY BRIDGE OVERSEAS PVT.LTD.),,70,0,70
11,Bahrain,266296,EASY OVERSEAS PVT.LTD. (SKY BRIDGE OVERSEAS PVT.LTD.),,25,0,25
12,Bahrain,266466,EASY OVERSEAS PVT.LTD. (SKY BRIDGE OVERSEAS PVT.LTD.),,10,0,10
13,Bahrain,266914,EASY OVERSEAS PVT.LTD. (SKY BRIDGE OVERSEAS PVT.LTD.),,20,0,20
14,Bahrain,266915,EASY OVERSEAS PVT.LTD. (SKY BRIDGE OVERSEAS PVT.LTD.),,9,4,13
15,Bahrain,266916,EASY OVERSEAS PVT.LTD. (SKY BRIDGE OVERSEAS PVT.LTD.),,0,4,4
16,Bahrain,267088,EASY OVERSEAS PVT.LTD. (SKY BRIDGE OVERSEAS PVT.LTD.),,25,50,75
17,Bahrain,266268,G.C.D. WORLDWIDE PVT. LTD.,,10,10,20
18,Bahrain,266797,GUIDELINE RECRUITMENT SERVICE PVT.LTD. (K. D. MANPOWER PVT. LTD.),,0,3,3
