,,,,,Countrywise Labour Approval for Falgun 2079,,,,,,,,,,,,,,
,,Recruiting Agency,,,Individual-New,,,,G-to-G,,Individual-ReEntry,,,Total with ReEntry,,,Total without ReEntry,,
S.N.Country,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
25,HUMLA,26,1,27,2,0,2,2,0,2,4,0,4,34,1,35,30,1,31
26,ILAM,337,55,392,31,13,44,82,7,89,239,59,298,689,134,823,450,75,525
27,JAJARKOT,221,2,223,5,2,7,6,0,6,29,0,29,261,4,265,232,4,236
28,JHAPA,944,158,1102,170,66,236,98,6,104,1111,182,1293,2323,412,2735,1212,230,1442
29,JUMLA,79,4,83,7,1,8,5,0,5,9,0,9,100,5,105,91,5,96
30,KAILALI,269,25,294,46,11,57,64,1,65,153,9,162,532,46,578,379,37,416
31,KALIKOT,75,2,77,3,0,3,11,0,11,6,0,6,95,2,97,89,2,91
32,KANCHANPUR,295,11,306,43,9,52,31,0,31,182,8,190,551,28,579,369,20,389
33,KAPILVASTU,463,10,473,93,11,104,24,0,24,616,13,629,1196,34,1230,580,21,601
34,Kaski,260,25,285,144,39,183,35,1,36,441,38,479,880,103,983,439,65,504
35,KATHMANDU,117,57,174,110,47,157,8,3,11,187,90,277,422,197,619,235,107,342
36,KAVREPALANCHOK,364,95,459,86,39,125,48,8,56,260,69,329,758,211,969,498,142,640
37,KHOTANG,381,21,402,42,13,55,58,2,60,227,19,246,708,55,763,481,36,517
38,LALITPUR,114,28,142,35,21,56,11,2,13,94,32,126,254,83,337,160,51,211
39,LAMJUNG,218,20,238,62,16,78,12,0,12,292,17,309,584,53,637,292,36,328
40,MAHOTTARI,853,11,864,81,7,88,8,0,8,1334,11,1345,2276,29,2305,942,18,960
41,MAKAWANPUR,438,112,550,75,41,116,51,3,54,278,89,367,842,245,1087,564,156,720
42,MANANG,18,3,21,1,1,2,0,1,1,4,0,4,23,5,28,19,5,24
43,MORANG,919,114,1033,161,59,220,69,1,70,955,118,1073,2104,292,2396,1149,174,1323
44,MUGU,35,1,36,0,1,1,3,0,3,4,0,4,42,2,44,38,2,40
45,MUSTANG,9,1,10,6,1,7,0,1,1,3,0,3,18,3,21,15,3,18
46,MYAGDI,149,11,160,53,15,68,23,1,24,178,8,186,403,35,438,225,27,252
47,NAWALPARASI,47,3,50,0,0,0,0,0,0,0,0,0,47,3,50,47,3,50
48,NAWALPARASI EAST,393,31,424,100,32,132,28,0,28,547,22,569,1068,85,1153,521,63,584
49,NAWALPARASI WEST,281,8,289,49,18,67,13,0,13,402,16,418,745,42,787,343,26,369
50,NUWAKOT,306,89,395,70,35,105,38,4,42,220,50,270,634,178,812,414,128,542
51,OKHALDHUNGA,209,18,227,22,6,28,29,5,34,125,12,137,385,41,426,260,29,289
52,PALPA,273,11,284,54,13,67,37,0,37,446,10,456,810,34,844,364,24,388
53,PANCHTHAR,286,23,309,37,15,52,145,6,151,219,20,239,687,64,751,468,44,512
54,PARBAT,128,7,135,66,15,81,48,1,49,240,9,249,482,32,514,242,23,265
55,PARSA,361,9,370,25,4,29,8,0,8,209,6,215,603,19,622,394,13,407
56,PYUTHAN,327,4,331,37,1,38,14,0,14,145,3,148,523,8,531,378,5,383
57,RAMECHHAP,252,55,307,59,18,77,39,3,42,152,32,184,502,108,610,350,76,426
58,RASUWA,47,14,61,20,4,24,3,0,3,23,10,33,93,28,121,70,18,88
59,RAUTAHAT,659,11,670,42,10,52,7,0,7,364,4,368,1072,25,1097,708,21,729
60,ROLPA,380,11,391,30,2,32,17,1,18,206,10,216,633,24,657,427,14,441
61,RUKUM,24,2,26,0,0,0,0,0,0,0,0,0,24,2,26,24,2,26
62,RUKUM EAST,135,4,139,19,2,21,2,0,2,51,3,54,207,9,216,156,6,162
63,RUKUM WEST,180,8,188,10,1,11,6,1,7,43,4,47,239,14,253,196,10,206
64,RUPANDEHI,654,23,677,178,50,228,47,0,47,829,35,864,1708,108,1816,879,73,952
65,SALYAN,523,19,542,21,5,26,12,0,12,146,4,150,702,28,730,556,24,580
66,SANKHUWASABHA,273,17,290,18,14,32,27,1,28,164,11,175,482,43,525,318,32,350
67,SAPTARI,790,6,796,48,3,51,3,0,3,728,2,730,1569,11,1580,841,9,850
68,SARLAHI,942,25,967,60,11,71,14,1,15,650,22,672,1666,59,1725,1016,37,1053
69,SINDHULI,426,54,480,48,16,64,24,0,24,217,31,248,715,101,816,498,70,568
70,SINDHUPALCHOK,362,105,467,95,55,150,33,2,35,190,100,290,680,262,942,490,162,652
71,SIRAHA,839,2,841,80,3,83,5,0,5,1415,1,1416,2339,6,2345,924,5,929
72,Solukhumbu,118,36,154,26,12,38,35,2,37,62,23,85,241,73,314,179,50,229
73,SUNSARI,567,52,619,143,41,184,40,1,41,738,65,803,1488,159,1647,750,94,844
74,SURKHET,333,8,341,22,6,28,42,1,43,107,4,111,504,19,523,397,15,412
75,SYANGJA,316,27,343,149,22,171,109,0,109,603,21,624,1177,70,1247,574,49,623
76,TANAHUN,408,33,441,111,25,136,14,4,18,636,23,659,1169,85,1254,533,62,595
77,TAPLEJUNG,155,25,180,25,13,38,40,3,43,131,15,146,351,56,407,220,41,261
78,TEHRATHUM,163,15,178,28,5,33,30,2,32,121,6,127,342,28,370,221,22,243
79,UDAYAPUR,427,47,474,34,9,43,34,3,37,284,35,319,779,94,873,495,59,554
,Total,27106,2182,29288,4380,1156,5536,2083,87,2170,23150,1701,24851,56719,5126,61845,33569,3425,36994
,Report on Final Approved List RA Wise,from 2023-02-13 to 2023-03-14,,
S.N,Recruitment Agency,Approved No Of Men,Approved No Of Women,Total
1,A. M. B. HUMAN RESOURCES PVT. LTD.,51,0,51
2,A.K. OVERSEAS PVT. LTD.,1,0,1
3,A.N.S.ASSOCIATES PVT. LTD.,69,0,69
4,A.S. INTERNATIONAL GROUP PVT.LTD.,93,0,93
5,AADARSHA HUMAN RESOURCES PVT.LTD.,20,0,20
6,AAKARSHAN INTERNATIONAL PVT. LTD.,98,0,98
7,AAKRITI RECRUITING PVT. LTD,13,0,13
8,Aarambha H R Services Pvt.Ltd,11,0,11
9,Aarohan Human Resource Private Limited,64,0,64
10,AAROHI H.R. SOLUTIONS (P) LTD.,24,2,26
11,AASHIN OVERSEAS PVT.LTD.,10,0,10
12,aashirbad overseas pvt ltd,45,0,45
13,AASTHA INTERNATIONAL EMPLOYEMENT PVT.LTD.,4,0,4
14,AAYUSH OVERSEAS PVT.LTD.,22,0,22
15,ABC Overseas Pvt. Ltd.,18,24,42
16,ABC PLACEMENTS PVT. LTD.,1,0,1
17,ACCESS PARTNERS NEPAL PVT. LTD.,8,0,8
18,ACCESS PARTNERS PVT LTD,372,10,382
19,ADVANCED MANAGEMENT CONSULTANTS PVT. LTD.,121,0,121
20,ADVENTURE HUMAN RESOURCE P.LTD.,13,0,13
21,AGNI OVERSEAS PVT.LTD.,1,10,11
,AIR KINGS PLACEMENT PVT. LTD.(VRINDIT SERVICES PVT.,,,
22,LTD.),124,73,197
23,AJAMBARY OVERSEAS SERVICES (P) LTD.,7,1,8
24,Ajeets Management and Development Company Pvt Ltd,12,0,12
25,AL - ASMACS COMPANY PVT. LTD.,112,7,119
,AL AJEETS MANAGEMENT &amp;amp; OUTSOURCING PVT.,,,
26,LTD.,10,0,10
27,AL AMAL OVERSEAS PVT. LTD.,36,4,40
28,AL AYUNI OVERSEAS SERVICES SERVICES PVT.LTD,22,0,22
29,Al Faraz International Overseas Pvt. Ltd,18,0,18
30,AL HAYA H.R. SOLUTION PVT. LTD.,30,0,30
31,Al Haya Recruitment Pvt. Ltd,7,0,7
32,AL JAZEERA OVERSEAS PVT LTD,5,0,5
33,AL KAUSAR HUMAN RESOURCE PVT.LTD.,78,0,78
34,AL NASEER OVERSEAS PVT. LTD.,18,0,18
35,AL NOOR OVERSEAS PVT.LTD,13,9,22
,AL RAAS RECRUITMENT SERVICES PVT. LTD.(SALYAN,,,
