,,,,,Countrywise Labour Approval for Falgun 2079,,,,,,,,,,,,,,
,,Recruiting Agency,,,Individual-New,,,,G-to-G,,Individual-ReEntry,,,Total with ReEntry,,,Total without ReEntry,,
S.N.Country,,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
544,S.P.M. OVERSEAS PVT.LTD.,27,5,32
,S.R. Group HR Consultancy Pvt Ltd(Access Partner,,,
545,Manpower Pvt Ltd),22,0,22
546,S.R.K. OVERSEAS NEPAL PVT. LTD.(S.R.K. NEPAL PVT. LTD.),14,6,20
547,S.S. Group Of Management Pvt. Ltd.,1,6,7
548,S.V. ASSOCIATES PVT. LTD.,19,0,19
549,SAAN NEPAL PVT.LTD.,174,2,176
550,SAB INTERNATIONAL HUMAN RESOURCE PVT.LTD,23,1,24
551,SADHANA INTERNATIONAL PVT. LTD.,59,0,59
552,SADIKSHA OVERSEAS PVT LTD,104,0,104
553,SAFELAND OVERSEAS PVT.LTD,8,0,8
554,SAGAR RECRUITMENT PVT.LTD,11,6,17
,Sagarmatha International Employment Pvt. Ltd.(K.B,,,
555,INTERNATIONAL EMPLOYMENT (P) LTD),17,2,19
556,SAGUN OVERSEAS SERVICES PVT. LTD.,27,2,29
557,SAHARA INTERNATIONAL PVT.LTD.,75,0,75
558,SAKSHAM HUMAN RESOURCES PVT.LTD.,16,10,26
,SALAM OVERSEAS SERVICES PVT.LTD.(SAIPAL HUMAN,,,
559,RESOURCE PVT.LTD.),7,0,7
560,SAMRIDHHA HUMAN RESOURCES PVT. LTD.,75,10,85
561,SAMYOG OVERSEAS PVT. LTD.,70,0,70
562,Sandiya Human Resources Private Limited,28,1,29
563,SANSAR INTERNATIONAL SERVICES PVT. LTD.,31,0,31
564,Santi Overseas Pvt. Ltd.,76,0,76
565,SAPTAKOSHI HUMAN RESOURCE PVT. LTD.,112,0,112
566,Sara Khasa Human Resource Pvt.Ltd.,20,2,22
567,SAUDI NEPAL RECRUITMENT AGENCY PVT. LTD.,27,1,28
568,Saugat Employment Service Pvt.Ltd.,45,0,45
569,SCC MANPOWER COMPANY PVT.LTD.,11,23,34
570,Seagull International Global H.R. Consultants Pvt. Ltd.,38,6,44
571,SEVEN SEAS INTERCONTINENTAL SERVICES PVT. LTD.,2,1,3
572,SHADA EMPLOYMENT SERVICES PVT.LTD.,12,0,12
573,SHAHI GLOBAL CAREERS PVT. LTD.,2,0,2
574,SHALMA HUMAN RESOURCES OVERSEAS PVT. LTD.,10,14,24
575,SHALMANI OVERSEAS PVT. LTD.,24,10,34
576,SHAN A.B. INTERNATIONAL PVT. LTD.,16,21,37
577,SHARON MANPOWER SERVICE P. LTD.,33,14,47
,Sherman Global Management Consultants Pvt.,,,
578,Ltd.(SURKHET OVERSEAS PVT. LTD),52,1,53
,SHERPA INTERNATIONAL MANPOWER CONSULTANCY PVT.,,,
579,LTD.,12,3,15
580,SHIKHAR INTERNATIONAL MANPOWER SERVICES PVT. LTD.,84,0,84
581,SHINING STAR OVERSEAS PVT. LTD.,1,2,3
582,SHRISTI OVERSEAS EMPLOYMENT SERVICES PVT. LTD.,86,1,87
583,SHUBHA HARATI MANPOWER PVT.LTD.,50,0,50
584,Shuvam Overseas Employment (P) Ltd.,0,9,9
585,SIDDHA GLOBAL SERVICES PVT. LTD.,14,2,16
586,SIDDHARTHA GAUTAM OVERSEAS SERVICES PVT. LTD.,40,0,40
587,SIGNAL INTERNATIONAL PVT LTD,14,0,14
,SILVER CORNER INTERNATIONAL PVT.LTD.(AL RAYAN,,,
588,OVERSEAS),10,0,10
589,SIWAKOTI MANPOWER SERVICE PVT. LTD.,52,34,86
590,Sky Blue International Overseas Pvt.Ltd.,45,0,45
591,SKY OF THE WORLD MANPOWER PVT. LTD.,42,11,53
592,SKY OVERSEAS SERVICES PVT. LTD.,55,0,55
,SKY POWER INTERNATIONAL SERVICE PVT. LTD.(EVEREST,,,
593,GLOBAL RECRUITMENT SERVICE PVT LTD),5,0,5
594,Sky Star Recruitment Pvt Ltd,40,0,40
595,SKY-WAY MANAGEMENT PVT. LTD.,26,6,32
596,SKYWAYS BUREAU SERVICES PVT.LTD.,52,0,52
597,SMART OVERSEAS PVT. LTD.,64,0,64
598,SOCIAL EMPLOYMENT SERVICES PVT.LTD.,120,0,120
599,Solidarity Overseas Pvt. Ltd.,10,0,10
600,SOS MANPOWER SERVICE PVT. LTD.,93,0,93
601,SOUNDLINES RECRUITMENT (P.) LTD.,137,25,162
602,SPACE OVERSEAS SERVICE PVT. LTD.,15,0,15
603,SPEED EMPLOYMENT SERVICE PVT. LTD.,1,0,1
604,SPRINGS NEPAL HUMAN RESOURCE PVT. LTD.,13,2,15
605,SR GROUP NEPAL PVT.LTD,7,0,7
606,STAR RAY OVERSEAS PVT. LTD.,0,4,4
607,STARIS HR SERVICES PVT. LTD.,18,5,23
608,SUBAS HUMAN RESOURCES PVT. LTD.,27,0,27
609,SUFI INTERNATIONAL SERVICES PVT.LTD.,29,0,29
610,SUGAM OVERSEAS PVT. LTD.,18,0,18
611,SUHASHA LINK PVT. LTD.,32,1,33
612,SUKARMA OVERSEAS PVT. LTD.,2,0,2
613,SULAV RECRUITMENT PVT.LTD.,1,0,1
614,Sumeru overseas pvt. Ltd.,9,0,9
615,SUN AND COMPANY PVT. LTD.,16,0,16
616,SUN HILLS OVERSEAS SERVICES PVT. LTD.,4,0,4
617,SUN LIGHT HUMAN RESORUCE PVT. LTD.,49,0,49
618,SUN RAY GLOBAL OVERSEAS PVT. LTD.,62,0,62
619,Sundar Nepal Overseas Pvt. Ltd.,8,24,32
620,SUNERA NEPAL INCORPORATED PVT. LTD.,8,3,11
621,Sunlight Recruitment Service Pvt.Ltd.,13,1,14
622,SUNRISE H.R. SOLUTION PVT.LTD.,3,0,3
623,SUPA DEURALI HUMAN RESOURCE PVT.LTD.,19,0,19
624,Superb For Ultimate Manpower Solution Pvt.Ltd,1,0,1
625,SUPERB SOLUTION PVT. LTD.,10,4,14
626,SUPPORT HUMAN RESORCES PVT. LTD.,77,68,145
627,Supreme Overseas Pvt. Ltd.,17,8,25
628,Sure Job Recruitment Pvt. Ltd.,7,0,7
629,SURYA INTERNATIONAL PVT. LTD.,3,0,3
630,SWASTIK OVERSEAS SERVICES PVT. LTD.,2,0,2
631,SWIFT H.R. SOLUTION PVT.LTD,173,4,177
632,SYNNET INTERNATIONAL PVT.LTD.,4,0,4
633,Takura Overseas Pvt. Ltd.,30,0,30
634,TALENT OVERSEAS SERVICES PVT. LTD.,104,0,104
635,TARGET CONSULTANT HUMAN RESOURCES PVT LTD,26,1,27
636,Target H.R. Solution Pvt. Ltd.,3,0,3
637,Tenduli International Employment Service Pvt. Ltd.,2,0,2
638,THE CENTER OVERSEAS CONCERN PVT.LTD,38,2,40
639,THE GLOBAL RECRUITMENT AGENCY PVT. LTD.,5,3,8
640,THE RIVER OVERSEAS PVT. LTD.,1017,2,1019
641,THREE BROTHERS HUMAN RESOURCE PVT. LTD.,58,0,58
642,Tiger Overseas Employment Pvt. Ltd.,10,4,14
643,TILICHO OVERSEASE PVT.LTD.,44,1,45
644,TIMES MANAGEMENT SYSTEM PVT. LTD.,14,0,14
645,TITANIC MANPOWER SUPPLIERS PVT. LTD.,157,0,157
,TOP JOBS INTERNATIONAL EMPLOYMENT SERVICES PVT.,,,
646,LTD.,1,0,1
647,TOP JOBS PVT.LTD.,1,0,1
648,TOPAZ INTERNATIONAL PVT. LTD.,3,0,3
649,TRANS WORLD MANPOWER COMPANY PVT. LTD.,62,2,64
650,TRENDWAY INTERNATIONAL PVT.LTD.,212,0,212
651,TRICON INTERNATIONAL OVERSEAS (P.) LTD.,3,0,3
652,TRIPLE STAR EMPLOYMENT PVT. LTD.,18,0,18
653,TRIPURA EMPLOYMENT PVT. LTD.,103,0,103
654,TRIVENI H.R. SOLUTION PVT. LTD.,57,11,68
655,TRIVENI OVERSEAS CONCERN PVT. LTD.,20,4,24
656,TRUST INTERNATIONAL OVERSEAS PVT. LTD.,47,0,47
657,TRUST NEPAL OVERSEAS PVT. LTD.,21,1,22
658,Tulsi International Employment P. Ltd.,33,0,33
659,UJYALO OVERSEAS PVT.LTD.,11,1,12
660,UNITED H. R. SOLUTION PVT. LTD.,171,0,171
661,UNITED INTERNATIONAL MANPOWER PVT. LTD.,10,0,10
662,UNITED WORLD MANPOWER PVT. LTD.,7,0,7
663,Universal H.R.Solution Pvt. Ltd.,6,0,6
664,UNIVERSAL INTERNATIONAL (P.) LTD.,5,0,5
665,UTSAV H.R. SOLUTION PVT.LTD.,75,20,95
666,Uttardayi Rojgar Pvt. Ltd,56,12,68
667,VARSHA MANPOWER PVT. LTD.,63,7,70
668,Vastu Management Service Pvt.Ltd.,3,0,3
669,VICTORY NEPAL (P.) LTD.,2,2,4
670,VISHWAS OVERSEAS SERVICES PVT. LTD.,10,0,10
671,VISION & VALUE OVERSEAS PVT. LTD.,54,26,80
672,VISION INTERNATIONAL EMPLOYMENT PVT. LTD.,1,0,1
673,VITAL INTERNATIONAL SERVICE PVT. LTD.,17,1,18
674,WAHAA MANPOWERS SUPPLIER PVT. LTD.,129,0,129
675,well growing recruitment pvt.ltd.,1,5,6
676,WHITE GLOVES INTERNATIONAL PVT. LTD.,44,5,49
677,WHITE HORSE INTERNATIONAL PVT.LTD.,29,4,33
678,White Pearl Light Manpower Services Pvt. Ltd.,0,6,6
679,WIDE SPACE INTERNATIONAL PVT. LTD,185,0,185
680,WIN RECRUITMENT PVT.LTD,78,1,79
681,WISDOM HUMAN RESOURCE PVT.LTD.,12,0,12
682,WISE INTERNATIONAL NEPAL PVT.LTD,30,6,36
683,Woodland International Pvt.Ltd,41,0,41
684,WORKFORCE SERVICES PVT. LTD.,16,0,16
685,WORLD FAVOUR OVERSEAS PVT. LTD.,14,0,14
686,WORLD NET RECRUITMENT CONSULTANT PVT.LTD.,6,0,6
,WORLD VIEW INTERNATIONAL HUMAN RESOURCES,,,
687,(PVT).LTD,9,1,10
688,WORLD WIDE EMPLOYMENT CONSULTANT (P.) LTD.,3,0,3
689,WORLD WIDE HUMAN RESOURCE NETWORKING PVT. LTD.,25,0,25
690,WORLDWAYS MANPOWER INC (P.) LTD.,90,0,90
,Y.K. MANPOWER AGENCY PVT. LTD.(ASIA POWER,,,
691,OVERSEAS EMPLOYMENT SERVICES),103,0,103
692,YACCA OVERSEAS EMPLOYMENT CONSULT (P.) LTD.,37,1,38
693,YANA MANAGEMENT SERVICES PVT. LTD.,2,1,3
694,Yatra H.R. Solution,21,0,21
695,YOUNG MANPOWER PVT.LTD. (PUJAN H. R. SERVICE),61,0,61
696,YOUTH MANPOWER PVT.LTD.,13,3,16
697,YUSHO GLOBAL PVT.LTD.,26,0,26
,ZIA INTERNATIONAL SERVICES PVT. LTD. (AL QURAISH,,,
698,INTERNATIONAL P. LTD.),9,1,10
,Grand Total,27106,2182,29288
Report on Final Approved List Skill Wise,,,from 2023-02-13 to 2023-03-14,
S.N,Skill Type,Approved No Of Men,Approved No Of Women,Total
1,High Skilled,27,3,30
2,Professional,59,9,68
3,Semi Skilled,5003,446,5449
4,Skilled,39456,3262,42718
5,Unskilled,12174,1406,13580
,Grand Total,56719,5126,61845
